date%time&lat&long&temp&windvel&winddir&humidity&pressure&description
 2020-02-13  17:45:29+00 &46.345354&47.969263&-1.9&5.2&250&60&764.18&Запах гари 3
 2020-02-14  07:39:20+00 &46.335238&48.115489&-1.99&9.6&272&70&768&Химический
